"",ADDRESS,Days Open/ Hours Cont.,SECONDARY SERVICE,ZIP CODE,CITY,Languages Offered,WEBSITE,PRIMARY SERVICE,Basic Information,PHONE,TRANSPORTATION,HOURS,lgn,SITE NAME,QUADRANT,STATE,lat,Restrictions? Criteria to Access
,1000 R St.,,,20001,Washington,,,Food/ Grocery Services,,,,,-77.02641,10th Street Baptist (SHARE site),NW,DC,38.91237,
,13th St. and C St.,,,20003,Washington,,,Community Garden,,,,,-76.9883107,13th Street Community Garden,SE,DC,38.885355,
,4606 16th Street,,,20011,Washington,,http://www.nsbcdc.org/,Food/ Grocery Services,,(202) 829-2773,"Bus: S2, S4, 52, 53, 54","Wed, Fri, 9am-12pm",-77.037153,19th Street Baptist Church,NW,DC,38.9467209,Referral Required
,"2700 Martin Luther King, Jr. Ave",,,20032,Washington,,http://www.catholiccharitiesdc.org,Shelters/ Transitional Housing,,(202) 561-4014,"Bus: W2, A4, A7",,-76.9953919,801- East Housing Assistance Center,SE,DC,38.847222,"Homeless, Men Age 18+"
,9159-C Brookville Road,,,20910,Silver Spring,,http://www.awidercircle.org,Shelters/ Transitional Housing,,(301) 608-3504,Metro: Silver Spring (Red Line),"Mon-Fri, 9am-5pm",-77.0492235,A Wider Circle,,MD,39.006033,
,601 Edgewood St.,,,20017,Washington,,http://aohdc.org/,Job Training/ Adult Education Services,,(202) 269-6623 ,Metro: Rhode Island Ave/Brentwood (Red Line),,-76.996295,Academy of Hope GED Center,NE,DC,38.923741,
,1227 Good Hope Rd,,,20020,Washington,,http://www.archdc.org,Job Training/ Adult Education Services,,(202) 889-5000 ,"Bus: A2, P6, B2","Mon-Fri, 9am-3pm",-76.987772,Action to Rehabilitate Community Housing (ARCH),SE,DC,38.8669749,DC Resident
,18th St. and Columbia Rd.,,,20009,Washington,,,Farmers Market,,,,,-77.0426644,Adams Morgan Farmers Market,NW,DC,38.9226725,
,2210 Adams Place,,,20018,Washington,,http://www.catholiccharitiesdc.org,Shelters/ Transitional Housing,,(202) 832-8317,Metro: Rhode Island Ave/Brentwood (Red Line),"Mon-Sun, 7pm-7am",-76.974918,Adam's Place Shelter,NW,DC,38.919707,"Homeless, Men Age 18+"
,2146 24th Place,,Counseling Services,20018,Washington,,http://www.dhs.dc.gov,Senior Services,,(202) 541-3950 ,"Bus: B2, B8, H6","Mon-Fri, 6:15am-4:45pm",-76.972157,Adult Protective Services,NE,DC,38.920705,
,"2000 M St. NW
Suite # 750
",Monday - Friday,"Teens/ Young Adults, HIV/ AIDS, LGBT",20036,Washington,,http://www.advocatesforyouth.org/index.php,Counseling resources,,(202) 419-3420,"Blue/Orange Lines - Foggy Bottom Metro
Red Line - Farragut North Metro or DuPont Circle Metro",Program times vary,-77.045383,Advocates for Youth,NW,DC,38.905222,
,"1525 Newton Street
(St. Stephen's Church)",Monday-Friday,"Immigrants, Refugees",20010,"Washington, DC","English, Kiswahili, other languages available upon request",http://www.airfound.org/contact.html,"Counseling resources, Language Training (English, Swahili)",,(202) 234-2473,"Bus
16th Street and Newton Street NW Stop
-Route S2 to Silver Spring
-Route S4 to Silver Spring
-Route S2 to Federal Triangle 
-Route S4 to Federal Triangle
(Then, walk approximately 1 block southeast on Newton Street.)

14th Street and Newton Street NW Stop
-Route 52 to Takoma
-Route 54 to Takoma
-Route 52 to L'Enfant Plaza
-Route 54 to L'Enfant Plaza
(Then, walk north on 14th Street, turn left on Newton street, and walk approximately 1 block NW on Newton Street.)

14th Street and Monroe Street NW Stop
-Route H8 to Rhode Island Avenue
(Then, walk north on 14th Street to turn left on Newton Street, and walk approximately 1 block northwest on Newton Street.)

Park Road and 16th Street NW Stop
-Route H8 to Mount Pleasant
(Then, walk approximately 1 block north on 16th Street, turn right on Newton Street, and walk approximately 1 block southeast on Newton Street NW.)

Metro _ Green/ Yellow Line (Columbia Heights Station)   Directions to our D.C. office at St. Stephen's Church
St. Stephen's is located at 1525 Newton St. NW, at the intersection of 16th and Newton Streets, NW in the Mount Pleasant/Columbia Heights area of Washington, DC.
-Take the Green lines (to Branch Avenue or Greenbelt) or Yellow lines (to Fort Totten or Huntington Station) to Columbia Heights Metro Station. 
(Then, walk approximately 2 blocks north on 14th Street, turn left on Newton Street, and walk approximately 1 blcok northwest on Newton Street.)",9am-5pm,-77.030539,African Immigrant and Refugee Foundation,NW,DC,38.9339046,"Services exclusively for African refugees and immigrants, regardless of their race, religion, ethnicity, place of origin, gender or when they arrived in the United States of America."
,11350 Baroque Road,,"Immigrants, Refugees",20901,Silver Spring,"English, Kiswahili, other languages available upon request",http://www.airfound.org/contact.html,"Counseling resources, Language Training (English, Swahili)",,(301) 593-0241,,,-76.996967,African Immigrant and Refugee Foundation,,MD,39.0432879,"Any immigrant or refugee from Africa and elsewhere regardless of gender, age, religious, ethnic, or place of origin. It is the Foundation’s goal to serve those immigrants who find themselves isolated irrespective of their race, place of origin, gender or when they arrived in the United States of America. "
